data,ano,mes,mes_nome,precipitacao_mm,fonte,seca,grupo_seca,decada
2011-07-01,2011,7,Jul,49.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-08-01,2011,8,Ago,64.0,Sr. Luiz (Pluviômetro),0,19,2010
2011-09-01,2011,9,Set,3.0,Sr. Luiz (Pluviômetro),1,20,2010
2011-10-01,2011,10,Out,258.0,Sr. Luiz (Pluviômetro),0,21,2010
2011-11-01,2011,11,Nov,133.0,Sr. Luiz (Pluviômetro),0,21,2010
2011-12-01,2011,12,Dez,109.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-01-01,2012,1,Jan,199.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-02-01,2012,2,Fev,81.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-03-01,2012,3,Mar,79.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-04-01,2012,4,Abr,139.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-05-01,2012,5,Mai,68.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-06-01,2012,6,Jun,408.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-07-01,2012,7,Jul,58.0,Sr. Luiz (Pluviômetro),0,21,2010
2012-08-01,2012,8,Ago,0.0,Sr. Luiz (Pluviômetro),1,22,2010
2012-09-01,2012,9,Set,48.0,Sr. Luiz (Pluviômetro),0,23,2010
2012-10-01,2012,10,Out,127.0,Sr. Luiz (Pluviômetro),0,23,2010
2012-11-01,2012,11,Nov,95.0,Sr. Luiz (Pluviômetro),0,23,2010
2012-12-01,2012,12,Dez,229.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-01-01,2013,1,Jan,176.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-02-01,2013,2,Fev,380.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-03-01,2013,3,Mar,287.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-04-01,2013,4,Abr,235.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-05-01,2013,5,Mai,111.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-06-01,2013,6,Jun,322.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-07-01,2013,7,Jul,14.0,Sr. Luiz (Pluviômetro),0,23,2010
2013-08-01,2013,8,Ago,4.0,Sr. Luiz (Pluviômetro),1,24,2010
2013-09-01,2013,9,Set,156.0,Sr. Luiz (Pluviômetro),0,25,2010
2013-10-01,2013,10,Out,142.0,Sr. Luiz (Pluviômetro),0,25,2010
2013-11-01,2013,11,Nov,122.0,Sr. Luiz (Pluviômetro),0,25,2010
2013-12-01,2013,12,Dez,118.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-01-01,2014,1,Jan,186.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-02-01,2014,2,Fev,162.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-03-01,2014,3,Mar,138.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-04-01,2014,4,Abr,105.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-05-01,2014,5,Mai,102.0,Sr. Luiz (Pluviômetro),0,25,2010
2014-06-01,2014,6,Jun,5.0,Sr. Luiz (Pluviômetro),1,26,2010
2014-07-01,2014,7,Jul,47.0,Sr. Luiz (Pluviômetro),0,27,2010
2014-08-01,2014,8,Ago,39.0,Sr. Luiz (Pluviômetro),0,27,2010
2014-09-01,2014,9,Set,150.0,Sr. Luiz (Pluviômetro),0,27,2010
2014-10-01,2014,10,Out,42.0,Sr. Luiz (Pluviômetro),0,27,2010
2014-11-01,2014,11,Nov,176.0,Sr. Luiz (Pluviômetro),0,27,2010
2014-12-01,2014,12,Dez,200.0,Sr. Luiz (Pluviômetro),0,27,2010
2015-01-01,2015,1,Jan,208.0,Sr. Luiz (Pluviômetro),0,27,2010
2015-02-01,2015,2,Fev,184.0,Sr. Luiz (Pluviômetro),0,27,2010
2015-03-01,2015,3,Mar,194.0,Sr. Luiz (Pluviômetro),0,27,2010
2015-04-01,2015,4,Abr,8.0,Sr. Luiz (Pluviômetro),1,28,2010
2015-05-01,2015,5,Mai,128.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-06-01,2015,6,Jun,30.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-07-01,2015,7,Jul,172.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-08-01,2015,8,Ago,33.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-09-01,2015,9,Set,223.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-10-01,2015,10,Out,197.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-11-01,2015,11,Nov,275.0,Sr. Luiz (Pluviômetro),0,29,2010
2015-12-01,2015,12,Dez,368.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-01-01,2016,1,Jan,303.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-02-01,2016,2,Fev,250.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-03-01,2016,3,Mar,166.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-04-01,2016,4,Abr,40.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-05-01,2016,5,Mai,266.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-06-01,2016,6,Jun,147.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-07-01,2016,7,Jul,20.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-08-01,2016,8,Ago,114.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-09-01,2016,9,Set,54.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-10-01,2016,10,Out,142.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-11-01,2016,11,Nov,132.0,Sr. Luiz (Pluviômetro),0,29,2010
2016-12-01,2016,12,Dez,196.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-01-01,2017,1,Jan,343.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-02-01,2017,2,Fev,205.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-03-01,2017,3,Mar,145.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-04-01,2017,4,Abr,120.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-05-01,2017,5,Mai,232.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-06-01,2017,6,Jun,200.0,Sr. Luiz (Pluviômetro),0,29,2010
2017-07-01,2017,7,Jul,0.0,Sr. Luiz (Pluviômetro),1,30,2010
2017-08-01,2017,8,Ago,100.0,Sr. Luiz (Pluviômetro),0,31,2010
2017-09-01,2017,9,Set,6.0,Sr. Luiz (Pluviômetro),1,32,2010
2017-10-01,2017,10,Out,175.0,Sr. Luiz (Pluviômetro),0,33,2010
2017-11-01,2017,11,Nov,182.0,Sr. Luiz (Pluviômetro),0,33,2010
2017-12-01,2017,12,Dez,208.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-01-01,2018,1,Jan,258.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-02-01,2018,2,Fev,57.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-03-01,2018,3,Mar,120.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-04-01,2018,4,Abr,28.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-05-01,2018,5,Mai,36.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-06-01,2018,6,Jun,42.0,Sr. Luiz (Pluviômetro),0,33,2010
2018-07-01,2018,7,Jul,0.0,Sr. Luiz (Pluviômetro),1,34,2010
2018-08-01,2018,8,Ago,207.0,Sr. Luiz (Pluviômetro),0,35,2010
2018-09-01,2018,9,Set,118.0,Sr. Luiz (Pluviômetro),0,35,2010
2018-10-01,2018,10,Out,188.0,Sr. Luiz (Pluviômetro),0,35,2010
2018-11-01,2018,11,Nov,120.0,Sr. Luiz (Pluviômetro),0,35,2010
2018-12-01,2018,12,Dez,107.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-01-01,2019,1,Jan,346.0,Sr. Luiz (Pluviômetro),0,35,2010
